lganame,wardname,year,month,rain_mm,valid_pixels
Burutu,Kiagbodo,2015,3,153.0162353515625,3
Burutu,Ngbilebiri,2015,3,171.34395345052084,6
Burutu,Obetebe,2015,3,174.9855367726293,29
Burutu,Ogulagha,2015,3,125.409150390625,25
Burutu,Ojobo,2015,3,172.7024129231771,6
Burutu,Tamigbe,2015,3,177.91070556640625,6
Burutu,Torugbene,2015,3,178.822509765625,6
Burutu,Tuomo,2015,3,170.88731553819446,9
Patani,Abari,2015,3,133.4314208984375,5
Patani,Agoloma,2015,3,142.69364420572916,3
Patani,Buluangiama,2015,3,145.8570556640625,8
Patani,Odorubu,2015,3,157.65328979492188,8
Patani,Patani 2,2015,3,132.03955078125,4
Patani,Patani 3,2015,3,132.8814900716146,6
Patani,Patani 4,2015,3,135.93731689453125,2
Patani,Patani 5,2015,3,138.294189453125,7
Patani,Toruangiama,2015,3,150.29559326171875,3
Patani,Uduophori,2015,3,156.20185546875,5
Warri South-West,Ajudaibo,2015,3,29.55776596069336,4
Warri South-West,Akpakpa,2015,3,20.140138626098636,2
Warri South-West,Isaba,2015,3,175.07936197916666,15
Warri South-West,Madangho,2015,3,35.44662221272787,3
Warri South-West,Ogbe-Ijoh,2015,3,184.0481363932292,36
Warri South-West,Ogidigben,2015,3,71.58432006835938,4
Warri South-West,Okerenkoko,2015,3,148.8779296875,36
Warri South-West,Oporozo,2015,3,67.81890869140625,16
Warri South-West,Orere,2015,3,184.00807883522728,11
Warri South-West,Ugborodo,2015,3,154.85494384765624,10
Warri South,Avenue,2015,3,168.93203735351562,2
Warri South,Bowen,2015,3,162.9752197265625,2
Warri South,Ekurede,2015,3,169.48733520507812,4
Warri South,Esisi,2015,3,166.41700744628906,4
Warri South,Igbudu,2015,3,165.7225138346354,3
Warri South,Obodo,2015,3,187.7637939453125,16
Warri South,Ode-Itsekiri,2015,3,175.58478461371527,9
Warri South,Okere,2015,3,168.93203735351562,2
Warri South,Pessu,2015,3,162.9752197265625,2
Warri South,Ubeji,2015,3,178.94206891741072,7
Bomadi,Akugbene 1,2015,4,141.5833282470703,2
Bomadi,Akugbene 2,2015,4,143.04029846191406,1
Bomadi,Akugbene 3,2015,4,143.04029846191406,1
Bomadi,Bomadi,2015,4,144.3138224283854,6
Bomadi,Ekaametagbene/Kalafio,2015,4,151.97498575846353,12
Bomadi,Esanma,2015,4,142.68597412109375,4
Bomadi,Kpakiama,2015,4,138.54195149739584,6
Bomadi,Ogbeinma/Okoloba,2015,4,141.52278645833334,3
Bomadi,Ogo/Eze,2015,4,139.1690673828125,2
Bomadi,Ogriagbene,2015,4,153.427978515625,6
Burutu,Bolou-Ndoro,2015,4,167.8563285495924,23
Burutu,Egodor,2015,4,145.42078354779412,17
Burutu,Eseinbiri,2015,4,145.6594904119318,11
Burutu,Kiagbodo,2015,4,133.62969970703125,3
Burutu,Ngbilebiri,2015,4,143.48699951171875,6
Burutu,Obetebe,2015,4,155.70900121228448,29
Burutu,Ogulagha,2015,4,95.7205859375,25
Burutu,Ojobo,2015,4,148.67233276367188,6
Burutu,Tamigbe,2015,4,150.62113444010416,6
Burutu,Torugbene,2015,4,151.26444498697916,6
Burutu,Tuomo,2015,4,150.29657660590277,9
Patani,Abari,2015,4,122.6792724609375,5
Patani,Agoloma,2015,4,131.96539306640625,3
Patani,Buluangiama,2015,4,135.43150329589844,8
Patani,Odorubu,2015,4,142.05441284179688,8
Patani,Patani 2,2015,4,124.75230407714844,4
Patani,Patani 3,2015,4,124.6588134765625,6
Patani,Patani 4,2015,4,126.49137878417967,2
Patani,Patani 5,2015,4,128.60498046875,7
Patani,Toruangiama,2015,4,138.56576538085938,3
Patani,Uduophori,2015,4,144.42657470703125,5
Warri South-West,Ajudaibo,2015,4,18.59766387939453,4
Warri South-West,Akpakpa,2015,4,12.632112503051758,2
Warri South-West,Isaba,2015,4,144.99405924479166,15
Warri South-West,Madangho,2015,4,22.3087158203125,3
Warri South-West,Ogbe-Ijoh,2015,4,140.00459798177084,36
Warri South-West,Ogidigben,2015,4,46.73893356323242,4
Warri South-West,Okerenkoko,2015,4,98.53044297960068,36
Warri South-West,Oporozo,2015,4,44.98738861083984,16
Warri South-West,Orere,2015,4,91.9371337890625,11
Warri South-West,Ugborodo,2015,4,85.78907470703125,10
Warri South,Avenue,2015,4,124.05262756347656,2
Warri South,Bowen,2015,4,127.7979965209961,2
Warri South,Ekurede,2015,4,128.46875,4
Warri South,Esisi,2015,4,126.5036392211914,4
Warri South,Igbudu,2015,4,127.56533813476562,3
Warri South,Obodo,2015,4,144.36634826660156,16
Warri South,Ode-Itsekiri,2015,4,138.3473171657986,9
Warri South,Okere,2015,4,124.05262756347656,2
Warri South,Pessu,2015,4,127.7979965209961,2
Warri South,Ubeji,2015,4,135.68439592633928,7
Bomadi,Akugbene 1,2015,5,279.9830322265625,2
Bomadi,Akugbene 2,2015,5,278.7444152832031,1
Bomadi,Akugbene 3,2015,5,278.7444152832031,1
Bomadi,Bomadi,2015,5,301.42303466796875,6
Bomadi,Ekaametagbene/Kalafio,2015,5,319.10329182942706,12
Bomadi,Esanma,2015,5,287.4306030273437,4
Bomadi,Kpakiama,2015,5,295.6581217447917,6
Bomadi,Ogbeinma/Okoloba,2015,5,282.1427815755208,3
Bomadi,Ogo/Eze,2015,5,272.6618957519531,2
Bomadi,Ogriagbene,2015,5,324.3494059244792,6
Burutu,Bolou-Ndoro,2015,5,324.5034816576087,23
Burutu,Egodor,2015,5,280.43893612132354,17
Burutu,Eseinbiri,2015,5,307.70188210227275,11
Burutu,Kiagbodo,2015,5,269.183349609375,3
Burutu,Ngbilebiri,2015,5,284.6187337239583,6
Burutu,Obetebe,2015,5,275.4279027478448,29
Burutu,Ogulagha,2015,5,140.793935546875,25
Burutu,Ojobo,2015,5,310.70408121744794,6
Burutu,Tamigbe,2015,5,315.53369140625,6
Burutu,Torugbene,2015,5,316.4134928385417,6
Burutu,Tuomo,2015,5,305.3697102864583,9
Patani,Abari,2015,5,279.7425537109375,5
Patani,Agoloma,2015,5,279.2030843098958,3
Patani,Buluangiama,2015,5,280.9799194335937,8
Patani,Odorubu,2015,5,291.2054443359375,8
Patani,Patani 2,2015,5,277.4744567871094,4
Patani,Patani 3,2015,5,281.0062866210937,6
Patani,Patani 4,2015,5,275.5512390136719,2
Patani,Patani 5,2015,5,279.60121372767856,7
Patani,Toruangiama,2015,5,283.3840738932292,3
Patani,Uduophori,2015,5,290.57197265625,5
Warri South-West,Ajudaibo,2015,5,32.90232849121094,4
Warri South-West,Akpakpa,2015,5,22.50663375854492,2
Warri South-West,Isaba,2015,5,280.96930338541665,15
Warri South-West,Madangho,2015,5,40.35782368977865,3
Warri South-West,Ogbe-Ijoh,2015,5,252.75547960069449,36
Warri South-West,Ogidigben,2015,5,62.7441635131836,4
Warri South-West,Okerenkoko,2015,5,174.64116753472223,36
Warri South-West,Oporozo,2015,5,82.3595199584961,16
Warri South-West,Orere,2015,5,170.42820046164772,11
Warri South-West,Ugborodo,2015,5,141.7264404296875,10
Warri South,Avenue,2015,5,262.1065673828125,2
Warri South,Bowen,2015,5,264.3858642578125,2
Warri South,Ekurede,2015,5,263.0614624023437,4
Warri South,Esisi,2015,5,254.5621032714844,4
Warri South,Igbudu,2015,5,257.217041015625,3
Warri South,Obodo,2015,5,242.77615356445312,16
Warri South,Ode-Itsekiri,2015,5,271.0095486111111,9
Warri South,Okere,2015,5,262.1065673828125,2
Warri South,Pessu,2015,5,264.3858642578125,2
Warri South,Ubeji,2015,5,250.8630894252232,7
Bomadi,Akugbene 1,2015,6,194.8949279785156,2
Bomadi,Akugbene 2,2015,6,199.5548553466797,1
Bomadi,Akugbene 3,2015,6,199.5548553466797,1
Bomadi,Bomadi,2015,6,189.4959716796875,6
Bomadi,Ekaametagbene/Kalafio,2015,6,203.07342529296875,12
Bomadi,Esanma,2015,6,196.8350372314453,4
Bomadi,Kpakiama,2015,6,190.95806884765625,6
Bomadi,Ogbeinma/Okoloba,2015,6,190.24169921875,3
Bomadi,Ogo/Eze,2015,6,174.6702117919922,2
Bomadi,Ogriagbene,2015,6,212.41031901041663,6
Burutu,Bolou-Ndoro,2015,6,220.76713230298915,23
Burutu,Egodor,2015,6,191.69054457720588,17
Burutu,Eseinbiri,2015,6,202.94850852272728,11
Burutu,Kiagbodo,2015,6,176.87491861979166,3
Burutu,Ngbilebiri,2015,6,188.0067342122396,6
Burutu,Obetebe,2015,6,201.49038591056035,29
Burutu,Ogulagha,2015,6,129.403671875,25
Burutu,Ojobo,2015,6,204.8707275390625,6
Burutu,Tamigbe,2015,6,208.79510498046875,6
Burutu,Torugbene,2015,6,203.5928751627604,6
Burutu,Tuomo,2015,6,198.5843505859375,9
Patani,Abari,2015,6,215.1406494140625,5
