feature,importance
month_sin,0.2575785
month_cos,0.2415588
rainfall_mm_lag1,0.22675516
t2m_mean_lag3,0.06612972
t2m_mean_lag1,0.064644486
rainfall_mm_lag2,0.04501351
t2m_mean_lag2,0.03630902
ndvi_annual,0.025295438
rainfall_mm_lag3,0.015602762
fac_total,0.0057600215
no2_umol_m2_lag3,0.0049613244
no2_umol_m2_lag1,0.004835165
no2_umol_m2_lag2,0.0026889886
flare_total_bcm_13yr,0.00086154015
fac_phc,0.0008286105
pop_total,0.00068012683
pop_under5,0.0004967832
