feature,importance
month_cos,0.49527186
ndvi_annual,0.15338673
month_sin,0.14687347
t2m_mean_lag3,0.038685724
rainfall_mm_lag1,0.03490098
rainfall_mm_lag3,0.023929348
t2m_mean_lag2,0.021790436
t2m_mean_lag1,0.016937135
rainfall_mm_lag2,0.016138205
pop_under5,0.01265464
no2_umol_m2_lag1,0.009823632
pop_total,0.007820964
no2_umol_m2_lag2,0.0071893036
no2_umol_m2_lag3,0.0058336044
flare_total_bcm_13yr,0.0054087457
fac_total,0.0019982469
fac_phc,0.0013569962
